time,real,predicted
T12:30:00+10:00,2175.446686,2240
T12:35:00+10:00,2162.536022,2240
T12:40:00+10:00,2156.080692,2240
T12:45:00+10:00,2162.536022,2240
T12:50:00+10:00,2143.170028,2240
T12:55:00+10:00,2136.714698,2240
T13:00:00+10:00,2123.804035,2240
T13:05:00+10:00,2097.982709,2240
T13:10:00+10:00,2085.072046,2240
T13:15:00+10:00,2065.706052,2240
T13:20:00+10:00,2046.340058,2080.067864
T13:25:00+10:00,2033.429395,2080.067864
T13:30:00+10:00,2001.152738,2080.067864
T13:35:00+10:00,1994.697407,2080.067864
T13:40:00+10:00,1975.331411,2080.067864
T13:45:00+10:00,1943.054756,2080.067864
T13:50:00+10:00,1917.23343,2080.067864
T13:55:00+10:00,1891.412103,2080.067864
T14:00:00+10:00,1859.135447,2080.067864
T14:05:00+10:00,1826.85879,2080.067864
T14:10:00+10:00,1781.671469,2080.067864
T14:15:00+10:00,1749.394812,2080.067864
T14:20:00+10:00,1730.028818,1770.654602
T14:25:00+10:00,1697.752161,1770.654602
T14:30:00+10:00,1659.020174,1770.654602
T14:35:00+10:00,1620.288183,1770.654602
T14:40:00+10:00,1575.100864,1770.654602
T14:45:00+10:00,1529.913545,1770.654602
T14:50:00+10:00,1484.726223,1770.654602
T14:55:00+10:00,1490.105666,1770.654602
T15:00:00+10:00,1400.806918,1770.654602
T15:05:00+10:00,1355.619597,1770.654602
T15:10:00+10:00,1310.432276,1770.654602
T15:15:00+10:00,1258.789625,1770.654602
T15:20:00+10:00,1213.602307,1258.555069
T15:25:00+10:00,1161.959653,1258.555069
T15:30:00+10:00,1116.772335,1258.555069
T15:35:00+10:00,1058.674351,1258.555069
T15:40:00+10:00,1000.576369,1258.555069
T15:45:00+10:00,948.9337178,1258.555069
T15:50:00+10:00,890.8357338,1258.555069
T15:55:00+10:00,832.737752,1258.555069
T16:00:00+10:00,774.6397702,1258.555069
T16:05:00+10:00,710.0864557,1258.555069
T16:10:00+10:00,632.6224778,1258.555069
T16:15:00+10:00,458.3285302,1258.555069
T16:20:00+10:00,148.472623,686.9164428
T16:25:00+10:00,361.4985584,686.9164428
T16:30:00+10:00,387.3198851,686.9164428
T16:35:00+10:00,167.838617,686.9164428
T16:40:00+10:00,116.1959658,686.9164428
T16:45:00+10:00,180.7492803,686.9164428
T16:50:00+10:00,90.37463904,686.9164428
T16:55:00+10:00,103.2853024,686.9164428
T17:00:00+10:00,64.55331456,686.9164428
T17:05:00+10:00,51.6426512,686.9164428
T17:10:00+10:00,0,686.9164428
T17:15:00+10:00,38.73198784,686.9164428
T17:20:00+10:00,19.36599392,82.97469249
T17:25:00+10:00,6.45533056,82.97469249
T17:30:00+10:00,6.45533056,82.97469249
T17:35:00+10:00,0,82.97469249
T17:40:00+10:00,0,82.97469249
T17:45:00+10:00,0,82.97469249
T17:50:00+10:00,6.45533056,82.97469249
T17:55:00+10:00,0,82.97469249
T18:00:00+10:00,6.45533056,82.97469249
T18:05:00+10:00,6.45533056,82.97469249
T18:10:00+10:00,0,82.97469249
T18:15:00+10:00,0,82.97469249
T18:20:00+10:00,0,0
T18:25:00+10:00,0,0
T18:30:00+10:00,0,0
T18:35:00+10:00,0,0
T18:40:00+10:00,0,0
T18:45:00+10:00,0,0
T18:50:00+10:00,0,0
T18:55:00+10:00,0,0
T19:00:00+10:00,0,0
T19:05:00+10:00,0,0
T19:10:00+10:00,0,0
T19:15:00+10:00,0,0
T19:20:00+10:00,0,0
T19:25:00+10:00,0,0
T19:30:00+10:00,0,0
T19:35:00+10:00,0,0
T19:40:00+10:00,0,0
T19:45:00+10:00,0,0
T19:50:00+10:00,0,0
T19:55:00+10:00,0,0
T20:00:00+10:00,0,0
T20:05:00+10:00,0,0
T20:10:00+10:00,0,0
T20:15:00+10:00,0,0
T20:20:00+10:00,0,0
T20:25:00+10:00,0,0
T20:30:00+10:00,0,0
T20:35:00+10:00,0,0
T20:40:00+10:00,0,0
T20:45:00+10:00,0,0
T20:50:00+10:00,0,0
T20:55:00+10:00,0,0
T21:00:00+10:00,0,0
T21:05:00+10:00,0,0
T21:10:00+10:00,0,0
T21:15:00+10:00,0,0
T21:20:00+10:00,0,0
T21:25:00+10:00,0,0
T21:30:00+10:00,0,0
T21:35:00+10:00,0,0
T21:40:00+10:00,0,0
T21:45:00+10:00,0,0
T21:50:00+10:00,0,0
T21:55:00+10:00,0,0
T22:00:00+10:00,0,0
T22:05:00+10:00,0,0
T22:10:00+10:00,0,0
T22:15:00+10:00,0,0
T22:20:00+10:00,0,0
T22:25:00+10:00,0,0
T22:30:00+10:00,0,0
T22:35:00+10:00,0,0
T22:40:00+10:00,0,0
T22:45:00+10:00,0,0
T22:50:00+10:00,0,0
