time,epdu_total_power,real_power,api_time
2024-10-13 22:39:47,330.0,0,T00:00:00+10:00
2024-10-13 22:39:52,325.0,0,T00:00:00+10:00
2024-10-13 22:39:57,328.0,0,T00:00:00+10:00
2024-10-13 22:40:03,347.0,0,T00:00:00+10:00
2024-10-13 22:40:08,472.0,0,T00:00:00+10:00
2024-10-13 22:40:13,487.0,0,T00:00:00+10:00
2024-10-13 22:40:19,499.0,0,T00:00:00+10:00
2024-10-13 22:40:24,485.0,0,T00:00:00+10:00
2024-10-13 22:40:30,494.0,0,T00:00:00+10:00
2024-10-13 22:40:35,501.0,0,T00:00:00+10:00
2024-10-13 22:40:40,504.0,0,T00:00:00+10:00
2024-10-13 22:40:46,502.0,0,T00:00:00+10:00
2024-10-13 22:40:51,500.0,0,T00:00:00+10:00
2024-10-13 22:40:56,499.0,0,T00:05:00+10:00
2024-10-13 22:41:02,499.0,0,T00:05:00+10:00
2024-10-13 22:41:07,503.0,0,T00:05:00+10:00
2024-10-13 22:41:12,501.0,0,T00:05:00+10:00
2024-10-13 22:41:18,501.0,0,T00:05:00+10:00
2024-10-13 22:41:23,503.0,0,T00:05:00+10:00
2024-10-13 22:41:28,499.0,0,T00:05:00+10:00
2024-10-13 22:41:34,494.0,0,T00:05:00+10:00
2024-10-13 22:41:39,495.0,0,T00:05:00+10:00
2024-10-13 22:41:44,500.0,0,T00:05:00+10:00
2024-10-13 22:41:49,502.0,0,T00:05:00+10:00
2024-10-13 22:41:55,499.0,0,T00:05:00+10:00
2024-10-13 22:42:00,503.0,0,T00:05:00+10:00
2024-10-13 22:42:06,495.0,0,T00:05:00+10:00
2024-10-13 22:42:11,493.0,0,T00:10:00+10:00
2024-10-13 22:42:16,477.0,0,T00:10:00+10:00
2024-10-13 22:42:22,470.0,0,T00:10:00+10:00
2024-10-13 22:42:27,464.0,0,T00:10:00+10:00
2024-10-13 22:42:33,487.0,0,T00:10:00+10:00
2024-10-13 22:42:38,490.0,0,T00:10:00+10:00
2024-10-13 22:42:43,507.0,0,T00:10:00+10:00
2024-10-13 22:42:49,496.0,0,T00:10:00+10:00
2024-10-13 22:42:54,496.0,0,T00:10:00+10:00
2024-10-13 22:42:59,495.0,0,T00:10:00+10:00
2024-10-13 22:43:05,492.0,0,T00:10:00+10:00
2024-10-13 22:43:10,510.0,0,T00:10:00+10:00
2024-10-13 22:43:15,527.0,0,T00:10:00+10:00
2024-10-13 22:43:21,514.0,0,T00:10:00+10:00
2024-10-13 22:43:26,512.0,0,T00:15:00+10:00
2024-10-13 22:43:32,521.0,0,T00:15:00+10:00
2024-10-13 22:43:37,489.0,0,T00:15:00+10:00
2024-10-13 22:43:42,491.0,0,T00:15:00+10:00
