Timestamp,Total_CPU_Count
2024-09-20 14:32:00,15
2024-09-20 14:32:33,14
2024-09-20 14:33:36,15
2024-09-20 14:34:38,14
2024-09-20 14:35:11,13
2024-09-20 14:35:43,15
2024-09-20 14:36:15,11
2024-09-20 14:36:48,12
2024-09-20 14:37:20,18
2024-09-20 14:37:52,13
2024-09-20 14:38:25,13
2024-09-20 14:38:57,13
2024-09-20 14:39:29,16
2024-09-20 14:40:02,21
2024-09-20 14:40:34,13
2024-09-20 14:41:06,12
2024-09-20 14:41:39,12
2024-09-20 14:42:11,16
2024-09-20 14:42:44,15
2024-09-20 14:43:16,16
2024-09-20 14:43:48,16
2024-09-20 14:44:21,12
2024-09-20 14:44:53,18
2024-09-20 14:45:25,11
2024-09-20 14:45:58,15
2024-09-20 14:46:30,16
2024-09-20 14:47:02,17
2024-09-20 14:47:35,12
2024-09-20 14:48:07,14
2024-09-20 14:48:40,12
2024-09-20 14:49:12,15
2024-09-20 14:49:44,20
2024-09-20 14:50:17,13
2024-09-20 14:50:49,15
2024-09-20 14:51:22,14
2024-09-20 14:51:54,13
2024-09-20 14:52:26,21
2024-09-20 14:52:59,19
2024-09-20 14:53:31,12
2024-09-20 14:54:03,10
2024-09-20 14:54:36,14
2024-09-20 14:55:08,14
2024-09-20 14:56:11,13
2024-09-20 14:56:44,13
2024-09-20 14:57:16,13
2024-09-20 14:57:48,11
2024-09-20 14:58:21,12
2024-09-20 14:58:53,14
2024-09-20 14:59:25,14
2024-09-20 14:59:58,15
2024-09-20 15:00:30,14
2024-09-20 15:01:02,14
2024-09-20 15:01:35,16
2024-09-20 15:02:07,13
2024-09-20 15:02:40,12
2024-09-20 15:03:12,15
2024-09-20 15:03:44,13
2024-09-20 15:04:17,16
2024-09-20 15:04:49,22
2024-09-20 15:05:21,14
2024-09-20 15:05:54,14
2024-09-20 15:06:26,14
2024-09-20 15:06:58,15
2024-09-20 15:07:31,13
2024-09-20 15:08:03,11
2024-09-20 15:08:35,13
2024-09-20 15:09:08,12
2024-09-20 15:09:40,14
2024-09-20 15:10:13,13
2024-09-20 15:10:45,19
2024-09-20 15:11:17,14
2024-09-20 15:11:50,14
2024-09-20 15:12:22,18
2024-09-20 15:12:54,14
2024-09-20 15:13:27,12
2024-09-20 15:14:29,20
2024-09-20 15:15:02,15
2024-09-20 15:15:34,19
2024-09-20 15:16:07,13
2024-09-20 15:16:39,11
2024-09-20 15:17:11,11
2024-09-20 15:17:44,14
2024-09-20 15:18:16,13
2024-09-20 15:18:48,13
2024-09-20 15:19:21,16
2024-09-20 15:19:53,11
2024-09-20 15:20:25,13
2024-09-20 15:20:58,15
2024-09-20 15:21:30,14
