Timestamp,Total_CPU_Count
2024-09-13 04:28:51,11
2024-09-13 04:29:23,14
2024-09-13 04:29:55,18
2024-09-13 04:30:28,13
2024-09-13 04:31:00,12
2024-09-13 04:31:32,12
2024-09-13 04:32:05,13
2024-09-13 04:32:37,13
2024-09-13 04:33:09,14
2024-09-13 04:33:42,13
2024-09-13 04:34:14,14
2024-09-13 04:34:46,14
2024-09-13 04:35:19,9
2024-09-13 04:35:51,14
2024-09-13 04:36:23,13
2024-09-13 04:36:56,16
2024-09-13 04:38:29,19
2024-09-13 04:39:02,13
2024-09-13 04:39:34,12
2024-09-13 04:40:06,15
2024-09-13 04:40:39,15
2024-09-13 04:41:11,12
2024-09-13 04:41:43,19
2024-09-13 04:42:16,12
2024-09-13 04:42:48,12
2024-09-13 04:43:20,15
2024-09-13 04:43:53,13
2024-09-13 04:44:25,13
2024-09-13 04:44:58,16
2024-09-13 04:45:30,13
2024-09-13 04:46:02,13
2024-09-13 04:46:35,11
2024-09-13 04:47:07,15
2024-09-13 04:47:39,12
2024-09-13 04:48:12,17
2024-09-13 04:48:44,19
2024-09-13 04:49:16,11
2024-09-13 04:49:49,14
2024-09-13 04:50:21,10
2024-09-13 04:50:54,13
2024-09-13 04:51:26,10
2024-09-13 04:51:58,12
2024-09-13 04:52:31,16
2024-09-13 04:53:03,20
2024-09-13 04:54:07,13
2024-09-13 04:54:39,15
2024-09-13 04:55:11,17
2024-09-13 04:55:44,17
2024-09-13 04:56:16,16
2024-09-13 04:56:48,14
2024-09-13 04:57:21,13
2024-09-13 04:57:53,12
2024-09-13 04:58:25,15
2024-09-13 04:58:58,13
2024-09-13 04:59:30,14
2024-09-13 05:00:02,12
2024-09-13 05:00:35,13
2024-09-13 05:01:07,13
2024-09-13 05:01:40,14
2024-09-13 05:02:12,24
2024-09-13 05:02:44,13
2024-09-13 05:03:17,14
2024-09-13 05:03:49,19
2024-09-13 05:04:21,14
2024-09-13 05:04:54,15
2024-09-13 05:05:26,20
2024-09-13 05:05:58,13
2024-09-13 05:06:31,19
2024-09-13 05:07:03,17
2024-09-13 05:07:36,16
2024-09-13 05:08:08,15
2024-09-13 05:08:40,20
2024-09-13 05:09:13,19
2024-09-13 05:09:45,11
2024-09-13 05:10:18,13
2024-09-13 05:10:50,14
2024-09-13 05:11:22,15
2024-09-13 05:11:55,11
2024-09-13 05:12:27,23
2024-09-13 05:12:59,12
2024-09-13 05:13:32,17
2024-09-13 05:14:04,14
2024-09-13 05:14:37,19
2024-09-13 05:15:09,17
2024-09-13 05:15:41,13
2024-09-13 05:16:14,13
2024-09-13 05:16:46,13
2024-09-13 05:17:18,14
2024-09-13 05:17:51,11
2024-09-13 05:18:23,14
2024-09-13 05:18:56,9
2024-09-13 05:19:28,15
2024-09-13 05:20:00,19
2024-09-13 05:20:33,12
2024-09-13 05:21:05,14
2024-09-13 05:21:37,10
2024-09-13 05:22:10,16
2024-09-13 05:22:42,15
2024-09-13 05:23:15,11
2024-09-13 05:23:47,16
2024-09-13 05:24:19,15
2024-09-13 05:24:52,13
2024-09-13 05:25:24,18
2024-09-13 05:25:57,16
2024-09-13 05:26:29,12
2024-09-13 05:27:01,19
2024-09-13 05:27:34,13
2024-09-13 05:28:06,17
2024-09-13 05:28:38,13
2024-09-13 05:29:11,12
2024-09-13 05:29:43,18
2024-09-13 05:30:16,15
2024-09-13 05:30:48,17
2024-09-13 05:31:20,15
2024-09-13 05:31:53,17
2024-09-13 05:32:25,12
2024-09-13 05:32:57,16
2024-09-13 05:33:30,16
2024-09-13 05:34:02,19
2024-09-13 05:34:35,19
2024-09-13 05:35:07,19
2024-09-13 05:35:39,15
2024-09-13 05:36:12,15
2024-09-13 05:36:44,17
2024-09-13 05:37:16,10
2024-09-13 05:37:49,16
2024-09-13 05:38:21,18
2024-09-13 05:38:54,13
2024-09-13 05:39:26,17
2024-09-13 05:39:58,15
2024-09-13 05:40:31,11
2024-09-13 05:41:03,15
2024-09-13 05:41:36,18
2024-09-13 05:42:08,13
2024-09-13 05:42:41,16
2024-09-13 05:43:44,11
2024-09-13 05:44:48,15
2024-09-13 05:45:20,13
2024-09-13 05:45:52,16
2024-09-13 05:46:25,17
2024-09-13 05:46:57,12
2024-09-13 05:47:30,14
2024-09-13 05:48:02,11
2024-09-13 05:48:34,14
2024-09-13 05:49:07,18
2024-09-13 05:49:39,13
2024-09-13 05:50:11,17
2024-09-13 05:50:44,12
2024-09-13 05:51:16,16
2024-09-13 05:51:49,10
2024-09-13 05:52:21,14
2024-09-13 05:52:53,12
2024-09-13 05:53:26,17
2024-09-13 05:53:58,17
2024-09-13 05:54:30,15
2024-09-13 05:55:03,12
2024-09-13 05:55:35,17
2024-09-13 05:56:08,14
2024-09-13 05:56:40,15
2024-09-13 05:57:12,11
2024-09-13 05:57:45,20
2024-09-13 05:58:17,15
2024-09-13 05:58:49,15
2024-09-13 05:59:22,17
2024-09-13 05:59:54,15
2024-09-13 06:00:27,13
2024-09-13 06:00:59,13
2024-09-13 06:01:31,14
2024-09-13 06:02:04,15
