time,real,predicted
T00:00:00+10:00,0,0
T00:05:00+10:00,0,0
T00:10:00+10:00,0,0
T00:15:00+10:00,0,0
T00:20:00+10:00,0,0
T00:25:00+10:00,0,0
T00:30:00+10:00,0,0
T00:35:00+10:00,0,0
T00:40:00+10:00,0,0
T00:45:00+10:00,0,0
T00:50:00+10:00,0,0
T00:55:00+10:00,0,0
T01:00:00+10:00,0,0
T01:05:00+10:00,0,0
T01:10:00+10:00,0,0
T01:15:00+10:00,0,0
T01:20:00+10:00,0,0
T01:25:00+10:00,0,0
T01:30:00+10:00,0,0
T01:35:00+10:00,0,0
T01:40:00+10:00,0,0
T01:45:00+10:00,0,0
T01:50:00+10:00,0,0
T01:55:00+10:00,0,0
T02:00:00+10:00,0,0
T02:05:00+10:00,0,0
T02:10:00+10:00,0,0
T02:15:00+10:00,0,0
T02:20:00+10:00,0,0
T02:25:00+10:00,0,0
T02:30:00+10:00,0,0
T02:35:00+10:00,0,0
T02:40:00+10:00,0,0
T02:45:00+10:00,0,0
T02:50:00+10:00,0,0
T02:55:00+10:00,0,0
T03:00:00+10:00,0,0
T03:05:00+10:00,0,0
T03:10:00+10:00,0,0
T03:15:00+10:00,0,0
T03:20:00+10:00,0,0
T03:25:00+10:00,0,0
T03:30:00+10:00,0,0
T03:35:00+10:00,0,0
T03:40:00+10:00,0,0
T03:45:00+10:00,0,0
T03:50:00+10:00,0,0
T03:55:00+10:00,0,0
T04:00:00+10:00,0,0
T04:05:00+10:00,0,0
T04:10:00+10:00,0,0
T04:15:00+10:00,0,0
T04:20:00+10:00,0,0
T04:25:00+10:00,0,0
T04:30:00+10:00,0,0
T04:35:00+10:00,0,0
T04:40:00+10:00,0,0
T04:45:00+10:00,0,0
T04:50:00+10:00,0,0
T04:55:00+10:00,0,0
T05:00:00+10:00,0,0
T05:05:00+10:00,0,0
T05:10:00+10:00,0,0
T05:15:00+10:00,0,0
T05:20:00+10:00,0,0
T05:25:00+10:00,0,0
T05:30:00+10:00,0,0
T05:35:00+10:00,0,0
T05:40:00+10:00,0,0
T05:45:00+10:00,0,0
T05:50:00+10:00,0,0
T05:55:00+10:00,0,0
T06:00:00+10:00,0,0
T06:05:00+10:00,0,0
T06:10:00+10:00,0,0
T06:15:00+10:00,0,0
T06:20:00+10:00,0,2.262123568
T06:25:00+10:00,0,2.262123568
T06:30:00+10:00,0,2.262123568
T06:35:00+10:00,0,2.262123568
T06:40:00+10:00,0,2.262123568
T06:45:00+10:00,0,2.262123568
T06:50:00+10:00,0,2.262123568
T06:55:00+10:00,0,2.262123568
T07:00:00+10:00,0,2.262123568
T07:05:00+10:00,0,2.262123568
T07:10:00+10:00,0,2.262123568
T07:15:00+10:00,0,2.262123568
T07:20:00+10:00,0,123.9643716
T07:25:00+10:00,0,123.9643716
T07:30:00+10:00,0,123.9643716
T07:35:00+10:00,3.68876096,123.9643716
T07:40:00+10:00,11.06628224,123.9643716
T07:45:00+10:00,16.59942336,123.9643716
T07:50:00+10:00,18.44380416,123.9643716
T07:55:00+10:00,27.66570624,123.9643716
T08:00:00+10:00,38.73198848,123.9643716
T08:05:00+10:00,47.95389056,123.9643716
T08:10:00+10:00,57.17579264,123.9643716
T08:15:00+10:00,68.24207488,123.9643716
T08:20:00+10:00,79.30835712,274.7122862
T08:25:00+10:00,86.68587904,274.7122862
T08:30:00+10:00,108.8184435,274.7122862
T08:35:00+10:00,92.21902016,274.7122862
T08:40:00+10:00,103.2853024,274.7122862
T08:45:00+10:00,138.3285306,274.7122862
T08:50:00+10:00,153.0835738,274.7122862
T08:55:00+10:00,169.6829971,274.7122862
T09:00:00+10:00,199.1930835,274.7122862
T09:05:00+10:00,236.0806918,274.7122862
T09:10:00+10:00,271.1239194,274.7122862
T09:15:00+10:00,300.6340058,274.7122862
T09:20:00+10:00,343.0547552,434.0562704
T09:25:00+10:00,374.4092218,434.0562704
T09:30:00+10:00,392.8530259,434.0562704
T09:35:00+10:00,409.4524492,434.0562704
T09:40:00+10:00,427.8962536,434.0562704
T09:45:00+10:00,440.8069164,434.0562704
T09:50:00+10:00,450.0288184,434.0562704
T09:55:00+10:00,462.9394808,434.0562704
T10:00:00+10:00,472.1613832,434.0562704
T10:05:00+10:00,486.9164264,434.0562704
T10:10:00+10:00,497.9827092,434.0562704
T10:15:00+10:00,509.0489912,434.0562704
