time,real,predicted
T00:00:00+10:00,0,0
T00:05:00+10:00,0,0
T00:10:00+10:00,0,0
T00:15:00+10:00,0,0
T00:20:00+10:00,0,0
T00:25:00+10:00,0,0
T00:30:00+10:00,0,0
T00:35:00+10:00,0,0
T00:40:00+10:00,0,0
T00:45:00+10:00,0,0
T00:50:00+10:00,0,0
T00:55:00+10:00,0,0
T01:00:00+10:00,0,0
T01:05:00+10:00,0,0
T01:10:00+10:00,0,0
T01:15:00+10:00,0,0
T01:20:00+10:00,0,0
T01:25:00+10:00,0,0
T01:30:00+10:00,0,0
T01:35:00+10:00,0,0
T01:40:00+10:00,0,0
T01:45:00+10:00,0,0
T01:50:00+10:00,0,0
T01:55:00+10:00,0,0
T02:00:00+10:00,0,0
T02:05:00+10:00,0,0
T02:10:00+10:00,0,0
T02:15:00+10:00,0,0
T02:20:00+10:00,0,0
T02:25:00+10:00,0,0
T02:30:00+10:00,0,0
T02:35:00+10:00,0,0
T02:40:00+10:00,0,0
T02:45:00+10:00,0,0
T02:50:00+10:00,0,0
T02:55:00+10:00,0,0
T03:00:00+10:00,0,0
T03:05:00+10:00,0,0
T03:10:00+10:00,0,0
T03:15:00+10:00,0,0
T03:20:00+10:00,0,0
T03:25:00+10:00,0,0
T03:30:00+10:00,0,0
T03:35:00+10:00,0,0
T03:40:00+10:00,0,0
T03:45:00+10:00,0,0
T03:50:00+10:00,0,0
T03:55:00+10:00,0,0
T04:00:00+10:00,0,0
T04:05:00+10:00,0,0
T04:10:00+10:00,0,0
T04:15:00+10:00,0,0
T04:20:00+10:00,0,0
T04:25:00+10:00,0,0
T04:30:00+10:00,0,0
T04:35:00+10:00,0,0
T04:40:00+10:00,0,0
T04:45:00+10:00,0,0
T04:50:00+10:00,0,0
T04:55:00+10:00,0,0
T05:00:00+10:00,0,0
T05:05:00+10:00,0,0
T05:10:00+10:00,0,0
T05:15:00+10:00,0,0
T05:20:00+10:00,0,0
T05:25:00+10:00,0,0
T05:30:00+10:00,0,0
T05:35:00+10:00,0,0
T05:40:00+10:00,0,0
T05:45:00+10:00,0,0
T05:50:00+10:00,0,0
T05:55:00+10:00,0,0
T06:00:00+10:00,0,0
T06:05:00+10:00,0,0
T06:10:00+10:00,0,0
T06:15:00+10:00,0,0
T06:20:00+10:00,0,6.786370705
T06:25:00+10:00,0,6.786370705
T06:30:00+10:00,0,6.786370705
T06:35:00+10:00,0,6.786370705
T06:40:00+10:00,0,6.786370705
T06:45:00+10:00,0,6.786370705
T06:50:00+10:00,0,6.786370705
T06:55:00+10:00,0,6.786370705
T07:00:00+10:00,0,6.786370705
T07:05:00+10:00,0,6.786370705
T07:10:00+10:00,0,6.786370705
T07:15:00+10:00,0,6.786370705
T07:20:00+10:00,0,371.8931147
T07:25:00+10:00,0,371.8931147
T07:30:00+10:00,0,371.8931147
T07:35:00+10:00,11.06628288,371.8931147
T07:40:00+10:00,33.19884672,371.8931147
T07:45:00+10:00,49.79827008,371.8931147
T07:50:00+10:00,55.33141248,371.8931147
T07:55:00+10:00,82.99711872,371.8931147
T08:00:00+10:00,116.1959654,371.8931147
T08:05:00+10:00,143.8616717,371.8931147
T08:10:00+10:00,171.5273779,371.8931147
T08:15:00+10:00,204.7262246,371.8931147
T08:20:00+10:00,237.9250714,824.1368585
T08:25:00+10:00,260.0576371,824.1368585
T08:30:00+10:00,326.4553306,824.1368585
T08:35:00+10:00,276.6570605,824.1368585
T08:40:00+10:00,309.8559072,824.1368585
T08:45:00+10:00,414.9855917,824.1368585
T08:50:00+10:00,459.2507213,824.1368585
T08:55:00+10:00,509.0489914,824.1368585
T09:00:00+10:00,597.5792506,824.1368585
T09:05:00+10:00,708.2420755,824.1368585
T09:10:00+10:00,813.3717581,824.1368585
T09:15:00+10:00,901.9020173,824.1368585
T09:20:00+10:00,1029.164266,1302.168811
T09:25:00+10:00,1123.227665,1302.168811
T09:30:00+10:00,1178.559078,1302.168811
T09:35:00+10:00,1228.357348,1302.168811
T09:40:00+10:00,1283.688761,1302.168811
T09:45:00+10:00,1322.420749,1302.168811
T09:50:00+10:00,1350.086455,1302.168811
T09:55:00+10:00,1388.818442,1302.168811
T10:00:00+10:00,1416.48415,1302.168811
T10:05:00+10:00,1460.749279,1302.168811
T10:10:00+10:00,1493.948128,1302.168811
T10:15:00+10:00,1527.146974,1302.168811
