time,real,predicted
T12:35:00+10:00,926.8011522,960
T12:40:00+10:00,924.0345822,960
T12:45:00+10:00,926.8011522,960
T12:50:00+10:00,918.5014404,960
T12:55:00+10:00,915.7348704,960
T13:00:00+10:00,910.2017292,960
T13:05:00+10:00,899.1354468,960
T13:10:00+10:00,893.6023056,960
T13:15:00+10:00,885.3025938,960
T13:20:00+10:00,877.002882,891.457656
T13:25:00+10:00,871.4697408,891.457656
T13:30:00+10:00,857.6368878,891.457656
T13:35:00+10:00,854.8703172,891.457656
T13:40:00+10:00,846.5706048,891.457656
T13:45:00+10:00,832.7377524,891.457656
T13:50:00+10:00,821.67147,891.457656
T13:55:00+10:00,810.605187,891.457656
T14:00:00+10:00,796.7723346,891.457656
T14:05:00+10:00,782.9394816,891.457656
T14:10:00+10:00,763.5734868,891.457656
T14:15:00+10:00,749.7406338,891.457656
T14:20:00+10:00,741.440922,758.8519722
T14:25:00+10:00,727.608069,758.8519722
T14:30:00+10:00,711.008646,758.8519722
T14:35:00+10:00,694.4092212,758.8519722
T14:40:00+10:00,675.0432276,758.8519722
T14:45:00+10:00,655.6772334,758.8519722
T14:50:00+10:00,636.3112386,758.8519722
T14:55:00+10:00,638.616714,758.8519722
T15:00:00+10:00,600.345822,758.8519722
T15:05:00+10:00,580.9798272,758.8519722
T15:10:00+10:00,561.6138326,758.8519722
T15:15:00+10:00,539.4812678,758.8519722
T15:20:00+10:00,520.1152742,539.3807437
T15:25:00+10:00,497.9827085,539.3807437
T15:30:00+10:00,478.6167149,539.3807437
T15:35:00+10:00,453.7175789,539.3807437
T15:40:00+10:00,428.8184438,539.3807437
T15:45:00+10:00,406.685879,539.3807437
T15:50:00+10:00,381.786743,539.3807437
T15:55:00+10:00,356.887608,539.3807437
T16:00:00+10:00,331.988473,539.3807437
T16:05:00+10:00,304.3227667,539.3807437
T16:10:00+10:00,271.123919,539.3807437
T16:15:00+10:00,196.426513,539.3807437
T16:20:00+10:00,63.63112416,294.3927612
T16:25:00+10:00,154.9279536,294.3927612
T16:30:00+10:00,165.9942365,294.3927612
T16:35:00+10:00,71.93083584,294.3927612
T16:40:00+10:00,49.79827104,294.3927612
T16:45:00+10:00,77.46397728,294.3927612
T16:50:00+10:00,38.73198816,294.3927612
T16:55:00+10:00,44.2651296,294.3927612
T17:00:00+10:00,27.66570624,294.3927612
T17:05:00+10:00,22.1325648,294.3927612
T17:10:00+10:00,0,294.3927612
T17:15:00+10:00,16.59942336,294.3927612
T17:20:00+10:00,8.29971168,35.56058249
T17:25:00+10:00,2.76657024,35.56058249
T17:30:00+10:00,2.76657024,35.56058249
T17:35:00+10:00,0,35.56058249
T17:40:00+10:00,0,35.56058249
T17:45:00+10:00,0,35.56058249
T17:50:00+10:00,2.76657024,35.56058249
T17:55:00+10:00,0,35.56058249
T18:00:00+10:00,2.76657024,35.56058249
T18:05:00+10:00,2.76657024,35.56058249
T18:10:00+10:00,0,35.56058249
T18:15:00+10:00,0,35.56058249
T18:20:00+10:00,0,0
T18:25:00+10:00,0,0
T18:30:00+10:00,0,0
T18:35:00+10:00,0,0
T18:40:00+10:00,0,0
T18:45:00+10:00,0,0
T18:50:00+10:00,0,0
T18:55:00+10:00,0,0
T19:00:00+10:00,0,0
T19:05:00+10:00,0,0
T19:10:00+10:00,0,0
T19:15:00+10:00,0,0
T19:20:00+10:00,0,0
T19:25:00+10:00,0,0
T19:30:00+10:00,0,0
T19:35:00+10:00,0,0
T19:40:00+10:00,0,0
T19:45:00+10:00,0,0
T19:50:00+10:00,0,0
T19:55:00+10:00,0,0
T20:00:00+10:00,0,0
T20:05:00+10:00,0,0
T20:10:00+10:00,0,0
T20:15:00+10:00,0,0
T20:20:00+10:00,0,0
T20:25:00+10:00,0,0
T20:30:00+10:00,0,0
T20:35:00+10:00,0,0
T20:40:00+10:00,0,0
T20:45:00+10:00,0,0
T20:50:00+10:00,0,0
T20:55:00+10:00,0,0
T21:00:00+10:00,0,0
T21:05:00+10:00,0,0
T21:10:00+10:00,0,0
T21:15:00+10:00,0,0
T21:20:00+10:00,0,0
T21:25:00+10:00,0,0
T21:30:00+10:00,0,0
T21:35:00+10:00,0,0
T21:40:00+10:00,0,0
T21:45:00+10:00,0,0
T21:50:00+10:00,0,0
T21:55:00+10:00,0,0
T22:00:00+10:00,0,0
T22:05:00+10:00,0,0
T22:10:00+10:00,0,0
T22:15:00+10:00,0,0
T22:20:00+10:00,0,0
T22:25:00+10:00,0,0
T22:30:00+10:00,0,0
T22:35:00+10:00,0,0
T22:40:00+10:00,0,0
T22:45:00+10:00,0,0
T22:50:00+10:00,0,0
T22:55:00+10:00,0,0
T23:00:00+10:00,0,0
T23:05:00+10:00,0,0
T23:10:00+10:00,0,0
T23:15:00+10:00,0,0
T23:20:00+10:00,0,0
T23:25:00+10:00,0,0
T23:30:00+10:00,0,0
T23:35:00+10:00,0,0
T23:40:00+10:00,0,0
T23:45:00+10:00,0,0
T23:50:00+10:00,0,0
T23:55:00+10:00,0,0
