Timestamp,Total_CPU_Count
2024-09-12 22:22:33,14
2024-09-12 22:23:05,13
2024-09-12 22:23:38,10
2024-09-12 22:24:10,12
2024-09-12 22:24:42,16
2024-09-12 22:25:15,10
2024-09-12 22:25:47,18
2024-09-12 22:26:19,14
2024-09-12 22:26:52,13
2024-09-12 22:27:24,13
2024-09-12 22:27:56,16
2024-09-12 22:28:29,10
2024-09-12 22:29:31,16
2024-09-12 22:30:04,13
2024-09-12 22:30:36,10
2024-09-12 22:31:08,15
2024-09-12 22:31:41,11
2024-09-12 22:32:13,13
2024-09-12 22:32:45,14
2024-09-12 22:33:18,13
2024-09-12 22:33:50,16
2024-09-12 22:34:22,12
2024-09-12 22:34:55,13
2024-09-12 22:35:27,13
2024-09-12 22:35:59,15
2024-09-12 22:36:32,17
2024-09-12 22:37:04,14
2024-09-12 22:37:36,13
2024-09-12 22:38:09,20
2024-09-12 22:38:41,14
2024-09-12 22:39:13,15
2024-09-12 22:39:46,18
2024-09-12 22:40:18,11
2024-09-12 22:40:50,13
2024-09-12 22:41:23,14
2024-09-12 22:41:55,16
2024-09-12 22:42:28,16
2024-09-12 22:43:00,12
2024-09-12 22:43:32,16
2024-09-12 22:44:05,12
2024-09-12 22:44:37,12
2024-09-12 22:45:09,12
2024-09-12 22:45:42,15
2024-09-12 22:46:14,16
2024-09-12 22:46:46,15
2024-09-12 22:47:19,15
2024-09-12 22:47:51,10
2024-09-12 22:48:24,13
2024-09-12 22:48:56,13
2024-09-12 22:49:28,13
2024-09-12 22:50:01,10
2024-09-12 22:50:33,16
2024-09-12 22:51:05,19
2024-09-12 22:51:38,14
2024-09-12 22:52:10,17
2024-09-12 22:52:42,14
2024-09-12 22:53:15,14
2024-09-12 22:53:47,15
2024-09-12 22:54:20,14
2024-09-12 22:54:52,12
2024-09-12 22:55:24,13
2024-09-12 22:55:57,17
2024-09-12 22:56:29,13
2024-09-12 22:57:01,16
2024-09-12 22:57:34,15
2024-09-12 22:58:06,13
2024-09-12 22:58:39,16
2024-09-12 22:59:11,17
2024-09-12 22:59:43,13
2024-09-12 23:00:16,11
2024-09-12 23:00:48,15
2024-09-12 23:01:20,13
2024-09-12 23:01:53,15
2024-09-12 23:02:25,12
2024-09-12 23:02:58,13
2024-09-12 23:03:30,13
2024-09-12 23:04:02,14
2024-09-12 23:04:35,13
2024-09-12 23:05:07,13
2024-09-12 23:05:39,12
2024-09-12 23:06:12,12
2024-09-12 23:06:44,15
2024-09-12 23:07:17,17
2024-09-12 23:07:49,17
2024-09-12 23:08:21,14
2024-09-12 23:08:54,14
2024-09-12 23:09:26,12
2024-09-12 23:09:59,14
2024-09-12 23:10:31,18
2024-09-12 23:11:03,21
2024-09-12 23:11:36,11
2024-09-12 23:12:08,16
2024-09-12 23:12:40,13
2024-09-12 23:13:13,16
2024-09-12 23:13:45,14
2024-09-12 23:14:18,14
2024-09-12 23:14:50,16
2024-09-12 23:15:23,14
2024-09-12 23:15:55,14
2024-09-12 23:16:27,11
2024-09-12 23:17:00,16
2024-09-12 23:17:32,13
2024-09-12 23:18:05,17
2024-09-12 23:18:37,13
2024-09-12 23:19:09,10
2024-09-12 23:19:42,10
2024-09-12 23:20:14,14
2024-09-12 23:20:47,12
2024-09-12 23:21:19,16
2024-09-12 23:21:51,15
2024-09-12 23:22:24,11
2024-09-12 23:22:56,12
2024-09-12 23:23:28,15
2024-09-12 23:24:01,12
2024-09-12 23:24:33,13
2024-09-12 23:25:06,15
2024-09-12 23:25:38,16
2024-09-12 23:26:10,21
2024-09-12 23:26:43,11
2024-09-12 23:27:15,15
2024-09-12 23:27:47,11
2024-09-12 23:28:20,13
2024-09-12 23:28:52,12
2024-09-12 23:29:25,12
2024-09-12 23:29:57,15
2024-09-12 23:30:29,18
2024-09-12 23:31:02,13
2024-09-12 23:31:34,15
2024-09-12 23:32:06,14
2024-09-12 23:33:09,16
2024-09-12 23:33:41,14
2024-09-12 23:34:14,15
2024-09-12 23:35:16,17
2024-09-12 23:35:49,14
2024-09-12 23:36:21,13
2024-09-12 23:36:53,21
2024-09-12 23:37:26,21
2024-09-12 23:37:58,17
2024-09-12 23:38:31,13
2024-09-12 23:39:03,16
2024-09-12 23:39:35,16
2024-09-12 23:40:08,11
2024-09-12 23:41:10,21
2024-09-12 23:41:43,14
2024-09-12 23:42:15,16
2024-09-12 23:42:48,12
2024-09-12 23:43:20,14
2024-09-12 23:43:52,14
2024-09-12 23:44:25,14
2024-09-12 23:44:57,16
2024-09-12 23:45:29,13
2024-09-12 23:46:02,14
2024-09-12 23:46:34,13
2024-09-12 23:47:07,17
2024-09-12 23:47:39,11
2024-09-12 23:48:11,14
2024-09-12 23:48:44,14
2024-09-12 23:49:47,15
2024-09-12 23:50:19,13
2024-09-12 23:50:51,12
2024-09-12 23:51:24,17
2024-09-12 23:51:56,16
2024-09-12 23:52:28,12
2024-09-12 23:53:01,12
2024-09-12 23:53:33,12
2024-09-12 23:54:05,14
2024-09-12 23:54:38,16
2024-09-12 23:55:10,10
2024-09-12 23:55:43,14
2024-09-12 23:56:15,12
2024-09-12 23:56:47,13
2024-09-12 23:57:20,15
2024-09-12 23:57:52,19
2024-09-12 23:58:25,12
2024-09-12 23:58:57,13
2024-09-12 23:59:29,11
2024-09-13 00:00:02,14
2024-09-13 00:00:34,11
2024-09-13 00:01:06,9
2024-09-13 00:01:39,18
2024-09-13 00:02:11,13
2024-09-13 00:02:44,12
2024-09-13 00:03:16,14
2024-09-13 00:03:48,12
2024-09-13 00:04:21,13
2024-09-13 00:04:53,12
2024-09-13 00:05:26,14
2024-09-13 00:05:58,16
2024-09-13 00:06:30,14
2024-09-13 00:07:03,14
2024-09-13 00:07:35,10
2024-09-13 00:08:08,20
2024-09-13 00:08:40,16
2024-09-13 00:09:12,13
2024-09-13 00:09:45,14
2024-09-13 00:10:17,20
2024-09-13 00:10:49,13
2024-09-13 00:11:22,14
2024-09-13 00:11:54,13
2024-09-13 00:12:27,14
2024-09-13 00:12:59,13
2024-09-13 00:13:32,12
2024-09-13 00:14:04,10
2024-09-13 00:14:36,13
2024-09-13 00:15:09,15
2024-09-13 00:15:41,10
2024-09-13 00:16:14,12
2024-09-13 00:16:46,11
2024-09-13 00:17:19,14
2024-09-13 00:17:51,11
2024-09-13 00:18:24,15
2024-09-13 00:18:56,15
2024-09-13 00:19:29,16
2024-09-13 00:20:01,16
2024-09-13 00:20:33,16
2024-09-13 00:21:06,16
2024-09-13 00:21:38,16
2024-09-13 00:22:11,13
2024-09-13 00:22:43,12
2024-09-13 00:23:15,13
2024-09-13 00:23:48,18
2024-09-13 00:24:20,14
2024-09-13 00:24:53,13
2024-09-13 00:25:25,17
2024-09-13 00:25:57,11
2024-09-13 00:26:30,14
2024-09-13 00:27:02,14
2024-09-13 00:27:35,18
2024-09-13 00:28:07,16
2024-09-13 00:28:40,15
2024-09-13 00:29:12,17
2024-09-13 00:29:44,19
2024-09-13 00:30:17,15
2024-09-13 00:30:49,12
2024-09-13 00:31:22,14
2024-09-13 00:31:54,16
2024-09-13 00:32:27,10
2024-09-13 00:32:59,12
2024-09-13 00:33:32,12
2024-09-13 00:34:04,19
2024-09-13 00:34:36,15
2024-09-13 00:35:09,14
2024-09-13 00:35:41,17
2024-09-13 00:36:14,14
2024-09-13 03:52:27,20
2024-09-13 03:52:59,13
2024-09-13 03:53:32,14
2024-09-13 03:54:04,13
2024-09-13 03:54:37,12
2024-09-13 03:55:09,13
2024-09-13 03:55:41,16
2024-09-13 03:56:14,15
2024-09-13 03:56:46,14
2024-09-13 03:57:18,13
2024-09-13 03:57:51,11
2024-09-13 03:58:23,13
2024-09-13 03:58:55,19
2024-09-13 03:59:28,14
2024-09-13 04:00:00,13
2024-09-13 04:00:32,14
2024-09-13 04:01:05,13
2024-09-13 04:01:37,16
2024-09-13 04:02:09,13
2024-09-13 04:02:42,13
2024-09-13 04:03:14,12
2024-09-13 04:03:47,12
2024-09-13 04:04:19,13
2024-09-13 04:04:51,16
2024-09-13 04:05:24,14
2024-09-13 04:05:56,11
2024-09-13 04:06:28,11
2024-09-13 04:07:01,15
2024-09-13 04:07:33,16
2024-09-13 04:08:05,15
2024-09-13 04:08:38,15
2024-09-13 04:09:10,15
2024-09-13 04:09:42,11
2024-09-13 04:10:15,18
2024-09-13 04:11:48,14
2024-09-13 04:12:21,15
2024-09-13 04:12:53,15
2024-09-13 04:13:25,17
2024-09-13 04:13:58,17
2024-09-13 04:14:30,15
2024-09-13 04:15:03,13
2024-09-13 04:15:35,19
2024-09-13 04:16:07,17
2024-09-13 04:16:40,15
2024-09-13 04:17:12,14
2024-09-13 04:18:15,13
2024-09-13 04:18:47,15
2024-09-13 04:19:19,16
2024-09-13 04:19:52,14
2024-09-13 04:20:24,15
2024-09-13 04:20:56,10
2024-09-13 04:21:29,14
2024-09-13 04:22:01,15
