Timestamp,Total_CPU_Count
2024-09-14 02:39:07,10
2024-09-14 02:39:39,15
2024-09-14 02:40:12,18
2024-09-14 02:40:44,18
2024-09-14 02:41:16,13
2024-09-14 02:41:49,11
2024-09-14 02:42:21,13
2024-09-14 02:42:53,12
2024-09-14 02:43:26,16
2024-09-14 02:43:58,13
2024-09-14 02:44:30,16
2024-09-14 02:45:03,17
2024-09-14 02:45:35,15
2024-09-14 02:46:07,15
2024-09-14 02:46:40,15
2024-09-14 02:47:12,14
2024-09-14 02:47:44,15
2024-09-14 02:48:17,13
2024-09-14 02:48:49,16
2024-09-14 02:49:21,12
2024-09-14 02:49:54,10
2024-09-14 02:50:26,12
2024-09-14 02:50:58,12
2024-09-14 02:51:31,17
2024-09-14 02:52:03,15
2024-09-14 02:52:36,14
2024-09-14 02:53:08,14
2024-09-14 02:53:40,16
2024-09-14 02:54:13,13
2024-09-14 02:54:45,17
2024-09-14 02:55:18,14
2024-09-14 02:55:50,16
2024-09-14 02:56:22,15
2024-09-14 02:56:55,10
2024-09-14 02:57:27,12
2024-09-14 02:58:00,14
2024-09-14 02:58:32,14
2024-09-14 02:59:04,19
2024-09-14 02:59:37,11
2024-09-14 03:00:40,11
2024-09-14 03:01:12,15
2024-09-14 03:01:45,15
2024-09-14 03:02:17,15
2024-09-14 03:02:49,13
2024-09-14 03:03:22,13
2024-09-14 03:03:54,14
2024-09-14 03:04:26,13
2024-09-14 03:04:59,13
2024-09-14 03:06:01,12
2024-09-14 03:06:34,13
2024-09-14 03:07:06,16
2024-09-14 03:07:38,15
2024-09-14 03:08:11,12
2024-09-14 03:08:43,15
2024-09-14 03:09:15,16
2024-09-14 03:09:48,13
2024-09-14 03:10:20,15
2024-09-14 03:10:52,12
2024-09-14 03:11:25,18
2024-09-14 03:11:57,14
2024-09-14 03:12:30,14
2024-09-14 03:13:02,13
2024-09-14 03:14:05,11
2024-09-14 03:14:38,13
2024-09-14 03:15:10,19
2024-09-14 03:15:42,14
2024-09-14 03:16:15,17
2024-09-14 03:16:47,16
2024-09-14 03:17:19,12
2024-09-14 03:17:52,13
2024-09-14 03:18:24,18
2024-09-14 03:19:27,14
2024-09-14 03:19:59,26
2024-09-14 03:20:31,10
2024-09-14 03:21:04,17
2024-09-14 03:22:06,17
2024-09-14 03:22:39,13
2024-09-14 03:23:11,11
2024-09-14 03:23:43,14
2024-09-14 03:24:16,11
2024-09-14 03:24:48,14
2024-09-14 03:25:20,15
2024-09-14 03:25:53,16
2024-09-14 03:26:25,11
2024-09-14 03:26:57,13
2024-09-14 03:27:30,12
2024-09-14 03:28:02,13
2024-09-14 03:29:05,11
2024-09-14 03:29:37,13
2024-09-14 03:30:09,17
2024-09-14 03:30:42,14
2024-09-14 03:31:14,21
2024-09-14 03:31:47,14
2024-09-14 03:32:19,15
2024-09-14 03:32:51,16
2024-09-14 03:33:24,11
2024-09-14 03:33:56,10
2024-09-14 03:34:28,13
2024-09-14 03:35:01,15
2024-09-14 03:35:33,15
2024-09-14 03:36:05,16
2024-09-14 03:36:38,13
2024-09-14 03:37:10,15
2024-09-14 03:37:42,12
2024-09-14 03:38:15,17
2024-09-14 03:38:47,16
2024-09-14 03:39:20,14
2024-09-14 03:39:52,13
2024-09-14 03:40:24,15
2024-09-14 03:40:57,15
2024-09-14 03:41:29,11
2024-09-14 03:42:01,18
2024-09-14 03:42:34,15
2024-09-14 03:43:06,12
2024-09-14 03:43:38,19
2024-09-14 03:44:11,13
2024-09-14 03:44:43,14
2024-09-14 03:45:16,12
2024-09-14 03:45:48,16
2024-09-14 03:46:20,14
2024-09-14 03:46:53,10
2024-09-14 03:47:25,15
2024-09-14 03:47:57,15
2024-09-14 03:48:30,14
2024-09-14 03:49:02,17
2024-09-14 03:49:34,13
2024-09-14 03:50:07,13
2024-09-14 03:50:39,19
2024-09-14 03:51:12,13
2024-09-14 03:51:44,13
2024-09-14 03:52:16,13
2024-09-14 03:52:49,11
2024-09-14 03:53:21,14
2024-09-14 03:53:53,15
2024-09-14 03:54:26,16
2024-09-14 03:54:58,10
2024-09-14 03:55:30,15
2024-09-14 03:56:03,14
2024-09-14 03:56:35,11
2024-09-14 03:57:08,15
2024-09-14 03:58:10,13
2024-09-14 03:58:43,13
2024-09-14 03:59:15,15
2024-09-14 03:59:47,14
2024-09-14 04:00:20,16
2024-09-14 04:00:52,13
2024-09-14 04:01:24,13
2024-09-14 04:01:57,16
2024-09-14 04:02:29,18
2024-09-14 04:03:02,14
2024-09-14 04:03:34,12
2024-09-14 04:04:06,11
2024-09-14 04:04:39,19
2024-09-14 04:05:11,17
2024-09-14 04:05:43,10
2024-09-14 04:06:16,16
2024-09-14 04:06:48,12
2024-09-14 04:07:20,14
2024-09-14 04:07:53,15
2024-09-14 04:08:56,12
2024-09-14 04:09:28,12
2024-09-14 04:10:01,15
2024-09-14 04:11:03,14
2024-09-14 04:11:36,14
2024-09-14 04:12:08,13
