Timestamp,Total_CPU_Count
2024-09-20 01:39:53,16
2024-09-20 01:40:26,14
2024-09-20 01:40:58,16
2024-09-20 01:41:30,16
2024-09-20 01:42:03,15
2024-09-20 01:42:35,14
2024-09-20 01:43:07,16
2024-09-20 01:43:40,14
2024-09-20 01:44:43,13
2024-09-20 01:45:15,16
2024-09-20 01:45:48,12
2024-09-20 01:46:20,14
2024-09-20 01:46:52,11
2024-09-20 01:47:25,12
2024-09-20 01:48:28,12
2024-09-20 01:49:01,17
2024-09-20 01:49:33,15
2024-09-20 01:50:05,15
2024-09-20 01:50:38,15
2024-09-20 01:51:10,13
2024-09-20 01:51:42,17
2024-09-20 01:52:46,15
2024-09-20 01:53:18,14
2024-09-20 01:53:50,14
2024-09-20 01:54:23,12
2024-09-20 01:54:55,14
2024-09-20 01:55:27,13
2024-09-20 01:56:00,12
2024-09-20 01:56:32,14
2024-09-20 01:57:04,13
2024-09-20 01:57:37,13
2024-09-20 01:58:09,17
2024-09-20 01:58:41,13
2024-09-20 01:59:44,14
2024-09-20 02:00:16,11
2024-09-20 02:00:49,13
2024-09-20 02:01:21,21
2024-09-20 02:01:53,17
2024-09-20 02:02:26,14
2024-09-20 02:02:58,13
2024-09-20 02:03:31,12
2024-09-20 02:04:03,10
2024-09-20 02:04:35,16
2024-09-20 02:05:08,14
2024-09-20 02:05:40,11
2024-09-20 02:06:12,15
2024-09-20 02:06:45,18
2024-09-20 02:07:17,12
2024-09-20 02:07:49,13
2024-09-20 02:08:22,22
2024-09-20 02:08:54,15
2024-09-20 02:09:26,12
2024-09-20 02:09:59,20
2024-09-20 02:10:31,16
2024-09-20 02:11:04,17
2024-09-20 02:11:36,14
2024-09-20 02:12:08,16
2024-09-20 02:12:41,18
2024-09-20 02:13:13,13
2024-09-20 02:13:45,16
2024-09-20 02:14:18,13
2024-09-20 02:14:50,14
2024-09-20 02:15:23,15
2024-09-20 02:15:55,20
2024-09-20 02:16:27,10
2024-09-20 02:17:00,14
2024-09-20 02:17:32,16
2024-09-20 02:18:04,11
