time,real,predicted
T14:05:00+10:00,1364.819277,1364.819277
T14:10:00+10:00,1310.843373,1310.843373
T14:15:00+10:00,1268.433735,1268.433735
T14:20:00+10:00,1434.216867,1434.216867
T14:25:00+10:00,674.6987952,674.6987952
T14:30:00+10:00,312.2891566,312.2891566
T14:35:00+10:00,119.5180723,119.5180723
T14:40:00+10:00,208.1927711,208.1927711
T14:45:00+10:00,447.2289157,447.2289157
T14:50:00+10:00,350.8433735,350.8433735
T14:55:00+10:00,582.1686747,582.1686747
T15:00:00+10:00,173.4939759,173.4939759
T15:05:00+10:00,154.2168675,154.2168675
T15:10:00+10:00,219.7590361,219.7590361
T15:15:00+10:00,462.6506024,462.6506024
T15:20:00+10:00,763.373494,763.373494
T15:25:00+10:00,909.8795181,909.8795181
T15:30:00+10:00,597.5903614,597.5903614
T15:35:00+10:00,566.746988,566.746988
T15:40:00+10:00,435.6626506,435.6626506
T15:45:00+10:00,747.9518072,747.9518072
T15:50:00+10:00,1098.795181,1098.795181
T15:55:00+10:00,875.1807229,875.1807229
T16:00:00+10:00,647.7108434,647.7108434
T16:05:00+10:00,605.3012048,605.3012048
T16:10:00+10:00,566.746988,566.746988
T16:15:00+10:00,443.373494,443.373494
T16:20:00+10:00,177.3493976,177.3493976
T16:25:00+10:00,104.0963855,104.0963855
T16:30:00+10:00,19.27710843,19.27710843
T16:35:00+10:00,26.98795181,26.98795181
T16:40:00+10:00,127.2289157,127.2289157
T16:45:00+10:00,84.81927711,84.81927711
T16:50:00+10:00,127.2289157,127.2289157
T16:55:00+10:00,131.0843373,131.0843373
T17:00:00+10:00,188.9156627,188.9156627
T17:05:00+10:00,212.0481928,212.0481928
T17:10:00+10:00,196.626506,196.626506
T17:15:00+10:00,104.0963855,104.0963855
T17:20:00+10:00,65.54216867,65.54216867
T17:25:00+10:00,50.12048193,50.12048193
T17:30:00+10:00,38.55421687,38.55421687
T17:35:00+10:00,30.84337349,30.84337349
T17:40:00+10:00,26.98795181,26.98795181
T17:45:00+10:00,23.13253012,23.13253012
T17:50:00+10:00,15.42168675,15.42168675
T17:55:00+10:00,3.855421687,3.855421687
T18:00:00+10:00,0,0
T18:05:00+10:00,0,0
T18:10:00+10:00,0,0
T18:15:00+10:00,0,0
T18:20:00+10:00,0,0
T18:25:00+10:00,0,0
T18:30:00+10:00,0,0
T18:35:00+10:00,0,0
T18:40:00+10:00,0,0
T18:45:00+10:00,0,0
T18:50:00+10:00,0,0
T18:55:00+10:00,0,0
T19:00:00+10:00,0,0
T19:05:00+10:00,0,0
T19:10:00+10:00,0,0
T19:15:00+10:00,0,0
T19:20:00+10:00,0,0
T19:25:00+10:00,0,0
T19:30:00+10:00,0,0
T19:35:00+10:00,0,0
T19:40:00+10:00,0,0
T19:45:00+10:00,0,0
T19:50:00+10:00,0,0
T19:55:00+10:00,0,0
T20:00:00+10:00,0,0
T20:05:00+10:00,0,0
T20:10:00+10:00,0,0
T20:15:00+10:00,0,0
T20:20:00+10:00,0,0
T20:25:00+10:00,0,0
T20:30:00+10:00,0,0
T20:35:00+10:00,0,0
T20:40:00+10:00,0,0
T20:45:00+10:00,0,0
T20:50:00+10:00,0,0
T20:55:00+10:00,0,0
T21:00:00+10:00,0,0
T21:05:00+10:00,0,0
T21:10:00+10:00,0,0
T21:15:00+10:00,0,0
T21:20:00+10:00,0,0
T21:25:00+10:00,0,0
T21:30:00+10:00,0,0
T21:35:00+10:00,0,0
T21:40:00+10:00,0,0
T21:45:00+10:00,0,0
T21:50:00+10:00,0,0
T21:55:00+10:00,0,0
T22:00:00+10:00,0,0
T22:05:00+10:00,0,0
T22:10:00+10:00,0,0
T22:15:00+10:00,0,0
T22:20:00+10:00,0,0
T22:25:00+10:00,0,0
T22:30:00+10:00,0,0
T22:35:00+10:00,0,0
T22:40:00+10:00,0,0
T22:45:00+10:00,0,0
T22:50:00+10:00,0,0
T22:55:00+10:00,0,0
T23:00:00+10:00,0,0
T23:05:00+10:00,0,0
T23:10:00+10:00,0,0
T23:15:00+10:00,0,0
T23:20:00+10:00,0,0
T23:25:00+10:00,0,0
T23:30:00+10:00,0,0
T23:35:00+10:00,0,0
T23:40:00+10:00,0,0
T23:45:00+10:00,0,0
T23:50:00+10:00,0,0
T23:55:00+10:00,0,0
